,func,start,end,is_cold,container_id,provider.request_id,blob.upload,blob.download,request_id
1,analyse,1706230610.013648,1706230647.249068,False,35964c1a,bfa18ae0-e3d3-4d74-b4d3-37c351b327c3,0.0,249051914.0,2e0bed38
2,analyse,1706230647.270296,1706230685.061541,False,35964c1a,4b79dac1-e677-42e6-b658-cccd7a2995f8,0.0,249192258.0,2e0bed38
3,summarize,1706231229.037454,1706231229.03796,False,35964c1a,b3b54eb4-e0d4-4433-beb9-4d6e92930b34,0.0,0.0,2e0bed38
4,run_workflow,1706231230.068062,1706231230.0806909,,,,,,2e0bed38
5,analyse,1706230525.005839,1706230552.190342,False,d6a17345,3b58f737-0d39-4c7e-bad4-780ec0711d45,0.0,249051914.0,f3a0da04
6,decode,1706230076.465179,1706230078.511991,False,48b5ddeb,89ad5057-d43b-4bbd-83d7-1a50482c0b3f,15680772.0,2618434.0,f3a0da04
7,run_workflow,1706230552.691973,1706230552.693887,,,,,,f3a0da04
8,summarize,1706230552.556754,1706230552.559061,False,d6a17345,cd9947e5-5dfe-494e-98a4-6ae530e8ed95,0.0,0.0,f3a0da04
9,analyse,1706230087.286099,1706230124.421658,False,48b5ddeb,eb1e0593-6890-4558-a886-b9756e0ad22c,0.0,249192258.0,f3a0da04
10,summarize,1706230673.402883,1706230673.403913,False,7b769e7d,36366eaa-d67c-4509-8423-1eaca95f80dc,0.0,0.0,d2f91dec
11,analyse,1706230528.896647,1706230566.132264,False,35964c1a,6fa5a769-3f25-4ed9-afe9-bab3638255cb,0.0,249192258.0,d2f91dec
12,analyse,1706230566.163818,1706230603.96991,False,35964c1a,88a7743d-518a-41d6-a645-a5e97522bbd9,0.0,249051914.0,d2f91dec
13,decode,1706230090.367967,1706230092.145128,False,1fe3b5f8,adc53a75-4415-44bd-b4b0-37978f0513e2,15680772.0,2618434.0,d2f91dec
14,run_workflow,1706230673.46395,1706230673.465278,,,,,,d2f91dec
15,summarize,1706231229.140408,1706231229.144523,False,35964c1a,f0ff7f2a-4c8a-4eba-99e0-3cdaaf119160,0.0,0.0,d923ed74
16,analyse,1706230958.965835,1706230996.89616,False,35964c1a,73e92fe6-3d0b-4cce-b33a-fe545fe32a08,0.0,249051914.0,d923ed74
17,decode,1706230604.223238,1706230606.292945,False,35964c1a,864c4425-f367-46a1-9c3d-b1e6958ad8c6,15680772.0,2618434.0,d923ed74
18,analyse,1706230919.678008,1706230958.938833,False,35964c1a,f1e44c6d-c1ad-4ead-b9e6-b9fbe49f99f1,0.0,249192258.0,d923ed74
19,run_workflow,1706231229.721808,1706231229.7249029,,,,,,d923ed74
20,summarize,1706230673.537143,1706230673.537854,False,7b769e7d,bab796f6-38e6-485c-9c99-e9e1b05ecfff,0.0,0.0,eb49c78c
21,run_workflow,1706230673.590247,1706230673.5916712,,,,,,eb49c78c
22,analyse,1706230647.949626,1706230673.387254,False,7b769e7d,b77e4ca4-d305-4b05-9e26-62c46e51e662,0.0,249051914.0,eb49c78c
23,analyse,1706230623.00208,1706230647.936158,False,7b769e7d,63725052-0b43-4fab-80c5-060e152c540f,0.0,249192258.0,eb49c78c
24,decode,1706230618.246389,1706230620.397381,False,f3c96df7,8c13c9c0-0bef-4796-bddc-28097f247f71,15680772.0,2618434.0,eb49c78c
25,run_workflow,1706231229.50571,1706231229.5108912,,,,,,5f4f9de0
26,analyse,1706230845.08373,1706230881.865047,False,35964c1a,07786d0e-1933-4307-9b08-f9b6461f845f,0.0,249192258.0,5f4f9de0
27,decode,1706230507.983825,1706230509.901682,False,cf09d12d,03384ec4-5ddd-4849-bd00-526dba4b27b2,15680772.0,2618434.0,5f4f9de0
28,summarize,1706231228.895906,1706231228.913788,False,35964c1a,e354b75c-3315-4216-8f47-aff4492ef43c,0.0,0.0,5f4f9de0
29,analyse,1706230881.880982,1706230919.591427,False,35964c1a,f0f7fe3d-e6db-4613-90db-21f815e00b54,0.0,249051914.0,5f4f9de0
30,analyse,1706230415.37366,1706230453.089539,False,35964c1a,b5509dc0-9d82-4c32-9339-b4ebb3616185,0.0,249192258.0,209321ea
31,summarize,1706230467.095928,1706230467.097091,False,7b769e7d,0ba2b8e5-072e-4388-aada-1ae4e1adb235,0.0,0.0,209321ea
32,run_workflow,1706230467.150852,1706230467.1569333,,,,,,209321ea
33,decode,1706230086.628909,1706230088.694839,False,1fe3b5f8,7ee34480-aaa9-4c07-ab96-7130e49d82e7,15680772.0,2618434.0,209321ea
34,analyse,1706230374.295817,1706230415.3454,False,35964c1a,7660601a-cfcf-49a0-ad72-059d7f692e02,0.0,249051914.0,209321ea
35,analyse,1706230188.74434,1706230218.380739,False,d6a17345,969512aa-29a1-4d7f-a290-21ea4e05b329,0.0,249051914.0,20174854
36,analyse,1706230218.394908,1706230245.881514,False,d6a17345,283f500e-f884-4264-971e-ac721dab509b,0.0,249192258.0,20174854
37,summarize,1706230246.062921,1706230246.072417,False,d6a17345,dc870c0a-aeab-4e1b-9619-a8b03641f3ed,0.0,0.0,20174854
38,decode,1706230167.956525,1706230170.091458,False,35964c1a,910d3349-f0cc-4743-a7bc-d4c0946a1340,15680772.0,2618434.0,20174854
39,run_workflow,1706230246.138195,1706230246.139175,,,,,,20174854
40,analyse,1706231074.117754,1706231114.861103,False,35964c1a,9c6d7c9e-a89f-4200-bf37-d34f332585ca,0.0,249051914.0,ca689507
41,run_workflow,1706231230.255391,1706231230.257252,,,,,,ca689507
42,decode,1706230608.103801,1706230609.993695,False,35964c1a,69eff5a5-9c1e-42ad-8f9c-84d0512929c9,15680772.0,2618434.0,ca689507
43,analyse,1706231114.880829,1706231152.144812,False,35964c1a,ec21a171-0f3e-4183-8139-3d76ff42da10,0.0,249192258.0,ca689507
44,summarize,1706231229.919125,1706231229.925711,False,35964c1a,e2877459-dd62-48a5-b922-0dd91da91246,0.0,0.0,ca689507
45,summarize,1706230548.078048,1706230548.078746,False,7b769e7d,3eec561e-bb71-4f89-9b8c-05bab94b0ab6,0.0,0.0,ef8584e9
46,analyse,1706230453.116359,1706230491.476289,False,35964c1a,04c7ede0-d52f-469b-80c9-de131840d3f4,0.0,249192258.0,ef8584e9
47,run_workflow,1706230548.126949,1706230548.1282067,,,,,,ef8584e9
48,decode,1706230088.729556,1706230090.330299,False,1fe3b5f8,926e9bc9-da98-4219-a6a2-2546e97c82f6,15680772.0,2618434.0,ef8584e9
49,analyse,1706230491.497154,1706230528.873283,False,35964c1a,5a37c1ea-e294-4763-99fc-13c780a305ab,0.0,249051914.0,ef8584e9
50,analyse,1706230335.639864,1706230374.272378,False,35964c1a,e2fb975e-2cf9-442e-96b5-d4da3442f9c3,0.0,249051914.0,f003d971
51,run_workflow,1706230414.838289,1706230414.8394458,,,,,,f003d971
52,summarize,1706230414.784934,1706230414.786521,False,7b769e7d,05ab6d64-547a-4b45-9899-52259a0f4c1a,0.0,0.0,f003d971
53,decode,1706230084.892608,1706230086.601518,False,1fe3b5f8,bfd4055e-6ad2-4a98-96a1-47ebd587399b,15680772.0,2618434.0,f003d971
54,analyse,1706230254.921912,1706230295.130924,False,35964c1a,8f360e77-cfea-48fc-84b2-cfb20eb40155,0.0,249192258.0,f003d971
55,summarize,1706230552.604412,1706230552.605888,False,d6a17345,4bc92c1c-3ab3-47d9-9320-6c3de35be3e9,0.0,0.0,cd3e52ca
56,analyse,1706230471.213422,1706230497.905603,False,d6a17345,f2777aa9-2a18-4ce1-9737-704025df989a,0.0,249051914.0,cd3e52ca
57,analyse,1706230445.249936,1706230471.20103,False,d6a17345,1d5ffbe7-9a6c-4cfc-a490-3eaceaaa3479,0.0,249192258.0,cd3e52ca
