func,start,end,is_cold,container_id,provider.request_id,request_id
reduce,1655122818.499796,1655122824.420939,True,145b38a5,0cec75e9-0bfd-4c4f-9d69-3108cb137d05,2c683172
reduce,1655122818.458592,1655122824.048917,True,be9759cd,cd0445e1-0c99-4cac-baf7-d957f8f967d7,2c683172
map,1655122806.541852,1655122812.341652,True,05b76edd,0ef74a9f-fbe7-4eef-b843-43ef0759a05e,2c683172
split,1655122800.512227,1655122805.951211,True,d764f285,cc1cb34d-a7fc-40ac-a865-291cb77b4a3c,2c683172
split,1655122800.560172,1655122806.324382,True,ca3d8084,d2c8de56-667a-4b15-9507-c31264957a86,9c2c5651
map,1655122806.894487,1655122812.309086,True,36531a64,dac3fa9b-dd17-46c1-93b6-fb82317e9f23,9c2c5651
reduce,1655122818.46883,1655122824.108326,True,e6e6d3f5,9e3e4961-3031-40a2-a678-d884793ae37c,9c2c5651
reduce,1655122818.578387,1655122824.403178,True,54fbf85d,34b3ac96-ff70-4fdf-a8a4-351e10b3bdce,9c2c5651
reduce,1655122818.667541,1655122824.167411,True,d38c1873,2d5fae4d-b9cc-4ec7-a3bd-84fb78a2d384,9c2c5651
map,1655122806.860398,1655122812.463162,True,cc9d3ced,ef2a8043-1daa-42fe-ad0f-4bddbef9b5be,9c2c5651
shuffle,1655122812.908753,1655122817.857475,True,83e7ac7b,bbc46ca2-4df9-4300-8cec-0104cee79200,9c2c5651
reduce,1655122818.45164,1655122823.986352,True,159bf1fa,05fd8098-6eff-434d-8f95-47e9d8d18401,9c2c5651
map,1655122806.969776,1655122812.504874,True,4bb08f29,efd967d0-2721-48a8-b712-c4629e4f1f4d,9c2c5651
reduce,1655122818.361996,1655122824.164535,True,edb758b1,d5ca74bb-a739-4e3a-b56d-d1afbd949463,9c2c5651
reduce,1655122818.407226,1655122823.858517,True,8bd848fe,edf4dfbb-389e-478b-acba-2ec1a88b6852,434e28da
reduce,1655122818.408086,1655122823.610563,True,37fd7bda,280d14fb-0e3f-426b-9bde-39cb04b45cdb,434e28da
split,1655122800.39731,1655122806.167895,True,cd264deb,39596f6b-f1cf-4a8c-93e3-f3a095eb41b5,434e28da
reduce,1655122818.439567,1655122823.919665,True,7dcbf846,111159eb-84a7-45bb-92e0-8e89ddfdc3c3,434e28da
map,1655122806.671908,1655122812.468325,True,930d1014,3c6bdf73-4715-4aa6-893a-97d51c14525a,434e28da
reduce,1655122818.428745,1655122823.974592,True,62c12b26,069d2565-fc33-4a40-b131-c09f9481386a,434e28da
map,1655122806.65255,1655122812.150854,True,a48546bc,207ae8ec-12f3-4a61-8ba1-2ea72565e402,434e28da
reduce,1655122818.416506,1655122824.105406,True,b5e0bf5e,577beb3f-e4f5-4ebb-ab35-6d2800cc773b,434e28da
map,1655122806.685296,1655122812.404259,True,980c7c70,9ba7a9ba-a215-4fff-96f6-c18f4d79ad03,434e28da
shuffle,1655122812.826409,1655122817.822603,True,835d1a63,0b09eab8-a119-4ee2-b317-0c9233314260,434e28da
reduce,1655122818.036159,1655122823.487277,True,aadc8c77,a23056c4-f38d-4610-8898-0b273414ed66,17751423
split,1655122800.369504,1655122805.678641,True,e585afc5,53073c7c-7081-49ea-912e-012b15436e8d,17751423
reduce,1655122818.126193,1655122823.44068,True,2ac545c3,c238b171-2001-45dc-8acc-78d3762f2361,17751423
reduce,1655122818.260859,1655122823.755672,True,48038fb1,4dcf7789-648b-4446-b565-dc86c0a81e2b,17751423
map,1655122806.157346,1655122811.820437,True,9ef990ab,7f676363-5756-4b1d-a317-b9f016d7d3ac,17751423
map,1655122806.154826,1655122811.846142,True,a62c52ef,8e7e2b92-4b24-4a57-9c47-d1cc9b31774b,17751423
reduce,1655122818.119911,1655122823.619555,True,46983026,4409a99d-c826-4f18-8701-9369aba0384d,17751423
map,1655122806.166383,1655122811.592946,True,6dd2e2ba,ac12b46c-3133-4d7a-85cf-1ee5bc631a28,17751423
shuffle,1655122812.327809,1655122817.472834,True,68f051ea,5613f12b-b90e-4e36-bb3d-25b2887d9b82,17751423
reduce,1655122818.143508,1655122823.816315,True,6fa4dc1a,14717f4e-d794-4166-bbf7-750c15ed7094,17751423
map,1655122806.589273,1655122812.050143,True,a788a398,4328a990-4489-471e-81a2-5cdd435844be,97e01d73
shuffle,1655122812.704268,1655122817.771513,True,95de6199,2aeae4d7-9e62-4a61-8f24-1d3b943302bd,97e01d73
reduce,1655122818.309516,1655122823.784259,True,f88f048c,aab14dda-a6b5-4390-872b-56ff062889f9,97e01d73
reduce,1655122818.306927,1655122823.779549,True,662d28a6,a558c59b-1d46-4e7a-8496-ead6d4b14734,97e01d73
reduce,1655122818.319445,1655122823.775228,True,a64fb6a9,ebb55ae5-c10c-46f2-9df1-4637a4cb786a,97e01d73
map,1655122806.64939,1655122812.256646,True,0525bfbf,8259cc9c-521f-4768-8bb9-84245184693d,97e01d73
split,1655122800.565227,1655122806.066394,True,11ee7741,e1e64dc5-12c9-49d4-ae98-2a09a4b2e821,97e01d73
reduce,1655122818.34001,1655122824.121872,True,864e86a9,aee4d19e-3b85-4876-83e9-e7b900460cb6,97e01d73
reduce,1655122818.298015,1655122823.935494,True,429b5554,9b6e449b-cebb-46b5-ac46-132108e7f1cd,97e01d73
map,1655122806.592196,1655122812.319835,True,8fe73fe0,ec00bc1a-25f0-4046-9763-7f8d8e7bdceb,97e01d73
reduce,1655122819.532122,1655122825.132166,True,0a9d2237,1dd406b8-315e-47fe-822b-2b542fc181ea,e2cd31c7
reduce,1655122819.600164,1655122825.026328,True,d1c4600f,729dc043-7101-4c80-84a8-7ba75bf9d895,e2cd31c7
reduce,1655122819.549088,1655122825.321827,True,0688ff82,5d80ddd1-230d-40b2-a9b9-8ac8448f3506,e2cd31c7
map,1655122807.111044,1655122812.720006,True,01cd626e,810b466f-465d-4bfd-8b3a-097b04571819,e2cd31c7
map,1655122807.385869,1655122813.178242,True,0917a611,eeba3c5e-1327-4049-b991-dbe81a31f7fc,e2cd31c7
reduce,1655122819.625839,1655122824.966332,True,d214cb68,a7472d69-b3d9-49c3-ac30-a66dd826bec0,e2cd31c7
split,1655122800.677566,1655122806.777085,True,14364dab,534421a6-29b6-4b63-8a54-5ae3af3e95c1,e2cd31c7
