func,start,end,is_cold,container_id,provider.request_id,blob.upload,blob.download,request_id
train,1706024125.41367,1706024132.944926,True,04469ebf,2613fb41-2bcd-4905-b7e0-fedb2c89745d,0,4100256,617a7615
generate,1706024116.043196,1706024124.227936,True,bbc60d11,54bd5bd3-0aba-4bcd-aab1-c91102b24dbe,4100256,0,617a7615
train,1706024125.4033,1706024135.248698,True,da694a20,c2ae524f-863f-42b4-9817-99a90503e67a,0,4100256,617a7615
train,1706024125.317996,1706024134.956985,True,57551e5d,93d3b0b5-9002-4830-a585-bf94d41166a7,0,4100256,ce1d50e7
generate,1706024116.111509,1706024124.171143,True,cad49f42,544374f6-0047-4361-9d95-d5e93def1b8e,4100256,0,ce1d50e7
train,1706024125.33985,1706024135.318581,True,b0573ef3,c280c9df-55ee-4d76-8a88-62a978de531c,0,4100256,ce1d50e7
generate,1706024631.522732,1706024639.671974,True,9de70c1e,c5c9ce38-bec1-4dba-898a-8fc3055959d9,4100256,0,95b8fd6e
train,1706024640.830914,1706024650.256233,True,c9b5e4c3,2c21d9dc-4467-4bb0-bf76-f57b16e22869,0,4100256,95b8fd6e
train,1706024640.861902,1706024650.836455,True,5bb475c6,b9d640ce-f37c-49bd-839f-925f05848bc0,0,4100256,95b8fd6e
train,1706024638.952902,1706024649.003696,True,03052a8b,3ad01c0b-3332-4743-b3ef-5621da1aa594,0,4100256,00a4376e
train,1706024639.245498,1706024649.015836,True,a4106e6c,abf2e6ad-116b-43ce-a611-4ded73c6d011,0,4100256,00a4376e
generate,1706024631.458043,1706024637.782797,True,27d7e793,da1b6bf0-cb1d-4aa3-a65e-ac9d33a9a6ee,4100256,0,00a4376e
train,1706024640.692123,1706024650.537427,True,47921124,1691c7e7-3c7c-4eb2-8d1f-b3cc33beae30,0,4100256,64d7f406
train,1706024640.722432,1706024650.600783,True,ba0891c5,855e4a99-3547-486a-9277-ac9c96984d19,0,4100256,64d7f406
generate,1706024631.496768,1706024639.580936,True,ce7b93ec,bbea4d8c-6b94-412f-87e8-988e4773ed21,4100256,0,64d7f406
train,1706024640.730951,1706024648.081045,True,fc10208a,bc591e08-d4e0-440f-87dd-5284ab8820c6,0,4100256,ce9196e2
train,1706024640.760528,1706024650.374021,True,9e2e1450,2d02f6cd-8b84-4f19-b280-b61ee1d4e374,0,4100256,ce9196e2
generate,1706024631.48192,1706024639.688703,True,14b90edc,7f95ef1b-a4e9-404b-82ac-0ceb3d0cd830,4100256,0,ce9196e2
train,1706024640.870717,1706024650.582339,True,3a6ba45a,56824b2f-ae42-4976-8f24-5a56042c27e9,0,4100256,b82c953a
generate,1706024631.651309,1706024639.680111,True,39bd6385,73fede15-338e-4daa-8fb3-2777af791ebd,4100256,0,b82c953a
train,1706024640.803004,1706024650.400025,True,cf6d83eb,4bb64180-4201-4f89-9807-3518e4e32d8f,0,4100256,b82c953a
generate,1706024631.675184,1706024639.769529,True,fb37a918,34348251-0264-43a1-8cac-6f5fe738f55e,4100256,0,f6e10997
train,1706024640.916863,1706024650.937737,True,8a139b53,40e9e1e4-7091-42ec-abe3-cde9734cd611,0,4100256,f6e10997
train,1706024640.918474,1706024650.892352,True,deef73b2,8536331c-c58f-4924-9935-9f13799074e7,0,4100256,f6e10997
train,1706024640.986031,1706024650.835592,True,914a3bc1,092ffa95-a32b-432e-b4c0-71af94be3f2a,0,4100256,cddc905a
generate,1706024631.576634,1706024639.79638,True,ec847411,f37632d9-12e0-400c-8564-3b434be6aa6a,4100256,0,cddc905a
train,1706024640.925179,1706024650.797841,True,808cbd8d,6688404d-8715-4579-9f8e-9e19e501724b,0,4100256,cddc905a
train,1706024641.263062,1706024651.056702,True,12afe32e,80d6bb3e-a03d-4e45-bcdd-333ccbff947f,0,4100256,b86f6003
generate,1706024631.647854,1706024640.066371,True,0228ecdb,a1f961a2-8030-4c58-94e2-49c19d205b13,4100256,0,b86f6003
train,1706024641.277116,1706024651.198199,True,cefb5f46,92e19754-9708-42d3-9718-daba4315cbba,0,4100256,b86f6003
train,1706024640.927571,1706024650.894037,True,1b4c592a,a4b2d479-6b25-42f3-b2da-769f7b269ffb,0,4100256,c95a4d7f
generate,1706024631.659815,1706024639.803201,True,68ca7741,3d017252-9614-4b39-967c-5781587b1ba2,4100256,0,c95a4d7f
train,1706024640.928131,1706024650.765676,True,d519153c,ca571950-249b-4224-9d61-e350986b06bd,0,4100256,c95a4d7f
